Date	Q1 Answer	Q2 Answer	Q3 Answer	Q4 Answer	
2022-04-23 07:13:26 Etc/GMT					
2022-04-23 07:13:31 Etc/GMT	No Confidence	Valerie Kistrina	Mantaj Dhillon	Julkar Naine Reedoy	
2022-04-23 07:14:29 Etc/GMT	Clare Provezano	Jennifer Dai	Yolanda Lam	Rastko Koprivica	
2022-04-23 07:14:46 Etc/GMT	Oliver Xie	Jennifer Dai	Yolanda Lam	Johnson Luong	
2022-04-23 07:15:09 Etc/GMT	No Confidence	No Confidence	No Confidence	No Confidence	
2022-04-23 07:15:15 Etc/GMT	No Confidence	No Confidence	No Confidence	Julkar Naine Reedoy	
2022-04-23 07:19:25 Etc/GMT	Oliver Xie	Jennifer Dai	Yolanda Lam	Johnson Luong	
2022-04-23 07:19:29 Etc/GMT	Clare Provezano	Clare Provezano	Mantaj Dhillon	Rastko Koprivica	
2022-04-23 07:19:35 Etc/GMT	Clare Provezano	Clare Provezano	Yolanda Lam	Julkar Naine Reedoy	
2022-04-23 07:22:10 Etc/GMT	Oliver Xie	Valerie Kistrina	Yolanda Lam	Johnson Luong	
2022-04-23 07:23:56 Etc/GMT	Clare Provezano	Clare Provezano	Gilbert Siu Chung Wong	Johnson Luong	
2022-04-23 07:24:54 Etc/GMT	Oliver Xie	Oliver Xie	Mantaj Dhillon	Johnson Luong	
2022-04-23 07:29:01 Etc/GMT	No Confidence	No Confidence	No Confidence	Rastko Koprivica	
2022-04-23 07:29:14 Etc/GMT	Oliver Xie	Oliver Xie	No Confidence	Rastko Koprivica	
2022-04-23 07:29:49 Etc/GMT	Oliver Xie	Oliver Xie	Gilbert Siu Chung Wong	Gilbert Siu Chung Wong	
2022-04-23 07:30:37 Etc/GMT	Oliver Xie	Oliver Xie	Yolanda Lam	No Confidence	
2022-04-23 07:30:48 Etc/GMT	No Confidence	No Confidence	No Confidence	Johnson Luong	
2022-04-23 07:31:29 Etc/GMT	Oliver Xie	Jennifer Dai	Gilbert Siu Chung Wong	Gilbert Siu Chung Wong	
2022-04-23 07:32:19 Etc/GMT	No Confidence	No Confidence	Gilbert Siu Chung Wong	Gilbert Siu Chung Wong	
2022-04-23 07:37:21 Etc/GMT	Clare Provezano	Valerie Kistrina	Yolanda Lam	Johnson Luong	
2022-04-23 07:44:14 Etc/GMT	Oliver Xie	Oliver Xie	Yolanda Lam	Johnson Luong	
2022-04-23 07:47:20 Etc/GMT	Oliver Xie	Oliver Xie	Yolanda Lam	Gilbert Siu Chung Wong	
2022-04-23 07:57:47 Etc/GMT	Oliver Xie	Oliver Xie	Yolanda Lam	Rastko Koprivica	
2022-04-23 08:08:02 Etc/GMT	Oliver Xie	Valerie Kistrina	Yolanda Lam	Johnson Luong	
2022-04-23 09:22:40 Etc/GMT	Oliver Xie	Valerie Kistrina	No Confidence	No Confidence	
2022-04-23 10:42:57 Etc/GMT	Oliver Xie	Oliver Xie	Gilbert Siu Chung Wong	Johnson Luong	
2022-04-23 15:08:01 Etc/GMT	Oliver Xie	Jennifer Dai	Yolanda Lam	Johnson Luong	
2022-04-23 15:29:58 Etc/GMT	No Confidence	No Confidence	No Confidence	No Confidence	
2022-04-23 15:34:48 Etc/GMT	Clare Provezano	Valerie Kistrina	Mantaj Dhillon	Johnson Luong	
2022-04-23 15:50:38 Etc/GMT	Oliver Xie	Valerie Kistrina	Yolanda Lam	Rastko Koprivica	
2022-04-23 16:04:39 Etc/GMT	Clare Provezano	Valerie Kistrina	Yolanda Lam	Rastko Koprivica	
2022-04-23 16:27:19 Etc/GMT	Clare Provezano	Valerie Kistrina	Gilbert Siu Chung Wong	Hooyar Hamraz	
2022-04-23 16:30:23 Etc/GMT	Clare Provezano	Valerie Kistrina	Yolanda Lam	Hooyar Hamraz	
2022-04-23 17:19:37 Etc/GMT	No Confidence	No Confidence	No Confidence	Hooyar Hamraz	
2022-04-23 17:20:30 Etc/GMT	Oliver Xie	Valerie Kistrina	No Confidence	Rastko Koprivica	
2022-04-23 17:21:40 Etc/GMT	No Confidence	No Confidence	No Confidence	Hooyar Hamraz	
2022-04-23 17:38:18 Etc/GMT	Oliver Xie	Jennifer Dai	Gilbert Siu Chung Wong	Johnson Luong	
2022-04-23 18:32:42 Etc/GMT	Oliver Xie	Valerie Kistrina	Mantaj Dhillon	Johnson Luong	
2022-04-23 19:04:44 Etc/GMT	Oliver Xie	Clare Provezano	Gilbert Siu Chung Wong	Gilbert Siu Chung Wong	
2022-04-23 19:34:15 Etc/GMT	Clare Provezano	Jennifer Dai	Mantaj Dhillon	Rastko Koprivica	
2022-04-23 19:38:48 Etc/GMT	Clare Provezano	Valerie Kistrina	Yolanda Lam	No Confidence	
2022-04-23 20:09:07 Etc/GMT	No Confidence	No Confidence	No Confidence	Hooyar Hamraz	
2022-04-23 20:29:26 Etc/GMT	Oliver Xie	Jennifer Dai	Gilbert Siu Chung Wong	Johnson Luong	
2022-04-23 20:41:02 Etc/GMT	Clare Provezano	Clare Provezano	Yolanda Lam	Hooyar Hamraz	
2022-04-23 21:13:03 Etc/GMT	Clare Provezano	Jennifer Dai	Gilbert Siu Chung Wong	Johnson Luong	
2022-04-23 21:15:33 Etc/GMT	Oliver Xie	Valerie Kistrina	Gilbert Siu Chung Wong	Johnson Luong	
2022-04-23 21:16:37 Etc/GMT	No Confidence	Jennifer Dai	Gilbert Siu Chung Wong	Gilbert Siu Chung Wong	
2022-04-23 21:22:53 Etc/GMT	Oliver Xie	Jennifer Dai	Gilbert Siu Chung Wong	Johnson Luong	
2022-04-23 21:40:26 Etc/GMT	Oliver Xie	Valerie Kistrina	Yolanda Lam	Gilbert Siu Chung Wong	
2022-04-23 21:42:04 Etc/GMT	Oliver Xie	Oliver Xie	Yolanda Lam	Julkar Naine Reedoy	
2022-04-23 21:57:15 Etc/GMT				Hooyar Hamraz	
2022-04-24 00:07:48 Etc/GMT	Clare Provezano	Oliver Xie	No Confidence	Johnson Luong	
2022-04-24 00:15:19 Etc/GMT				Johnson Luong	
2022-04-24 00:34:31 Etc/GMT	Oliver Xie	Jennifer Dai	No Confidence	Johnson Luong	
2022-04-24 00:37:52 Etc/GMT	Oliver Xie	Valerie Kistrina	Yolanda Lam	Hooyar Hamraz	
2022-04-24 01:07:58 Etc/GMT	Oliver Xie	Valerie Kistrina	Yolanda Lam	Rastko Koprivica	
2022-04-24 01:08:36 Etc/GMT	Clare Provezano	Clare Provezano	No Confidence	Hooyar Hamraz	
2022-04-24 01:12:00 Etc/GMT	No Confidence	No Confidence	No Confidence	Rastko Koprivica	
2022-04-24 01:13:53 Etc/GMT	No Confidence	No Confidence	No Confidence	Rastko Koprivica	
2022-04-24 01:25:39 Etc/GMT	Oliver Xie	Oliver Xie	Mantaj Dhillon	Hooyar Hamraz	
2022-04-24 03:05:21 Etc/GMT		Oliver Xie		Hooyar Hamraz	
2022-04-24 03:05:28 Etc/GMT	Clare Provezano	Valerie Kistrina			
2022-04-24 03:34:52 Etc/GMT	No Confidence	No Confidence	No Confidence	Hooyar Hamraz	
2022-04-24 03:42:20 Etc/GMT		Jennifer Dai	Gilbert Siu Chung Wong	Gilbert Siu Chung Wong	
2022-04-24 03:57:08 Etc/GMT	Oliver Xie	Valerie Kistrina	Yolanda Lam	Rastko Koprivica	
2022-04-24 04:24:10 Etc/GMT	Clare Provezano	Valerie Kistrina	Yolanda Lam	Hooyar Hamraz	
2022-04-24 04:27:35 Etc/GMT	Clare Provezano	Oliver Xie	Gilbert Siu Chung Wong	Hooyar Hamraz	
2022-04-24 04:38:58 Etc/GMT				Hooyar Hamraz	
2022-04-24 05:06:37 Etc/GMT		Valerie Kistrina	Gilbert Siu Chung Wong	Hooyar Hamraz	
2022-04-24 05:26:47 Etc/GMT	No Confidence	Valerie Kistrina	Yolanda Lam	Hooyar Hamraz	
2022-04-24 07:03:10 Etc/GMT	Clare Provezano	Clare Provezano	Yolanda Lam	Johnson Luong	
2022-04-24 07:16:17 Etc/GMT	Clare Provezano	Oliver Xie	Yolanda Lam	Johnson Luong	
2022-04-24 07:21:08 Etc/GMT				Hooyar Hamraz	
2022-04-24 07:21:48 Etc/GMT	Oliver Xie	Valerie Kistrina	Gilbert Siu Chung Wong	Rastko Koprivica	
2022-04-24 07:41:45 Etc/GMT	No Confidence	Jennifer Dai	Gilbert Siu Chung Wong	Hooyar Hamraz	
2022-04-24 07:52:29 Etc/GMT	Oliver Xie	Jennifer Dai	Gilbert Siu Chung Wong	Gilbert Siu Chung Wong	
2022-04-24 07:55:48 Etc/GMT	Oliver Xie	Valerie Kistrina	No Confidence	Johnson Luong	
2022-04-24 08:01:13 Etc/GMT	Oliver Xie	Jennifer Dai	Yolanda Lam	Johnson Luong	
2022-04-24 08:20:14 Etc/GMT	Oliver Xie	Valerie Kistrina	Gilbert Siu Chung Wong	Hooyar Hamraz	
2022-04-24 08:44:17 Etc/GMT	Oliver Xie	No Confidence	Yolanda Lam	Johnson Luong	
2022-04-24 08:46:23 Etc/GMT	Oliver Xie	Clare Provezano	Gilbert Siu Chung Wong	Gilbert Siu Chung Wong	
2022-04-24 09:04:02 Etc/GMT	Oliver Xie	Valerie Kistrina	Mantaj Dhillon	Hooyar Hamraz	
2022-04-24 10:23:36 Etc/GMT	Oliver Xie	Valerie Kistrina	Yolanda Lam	Hooyar Hamraz	
2022-04-24 17:53:21 Etc/GMT				Hooyar Hamraz	
2022-04-24 18:33:48 Etc/GMT	Clare Provezano	Clare Provezano	No Confidence	Hooyar Hamraz	
2022-04-24 18:41:04 Etc/GMT	No Confidence	Valerie Kistrina	No Confidence	Hooyar Hamraz	
2022-04-24 18:51:11 Etc/GMT	No Confidence	No Confidence	No Confidence	No Confidence	
2022-04-24 19:51:10 Etc/GMT	Oliver Xie	Oliver Xie	Gilbert Siu Chung Wong	Johnson Luong	
2022-04-24 20:38:41 Etc/GMT	Oliver Xie	Valerie Kistrina	Yolanda Lam	Julkar Naine Reedoy	
2022-04-24 21:44:17 Etc/GMT	Clare Provezano	Clare Provezano	No Confidence	Hooyar Hamraz	
2022-04-24 21:57:52 Etc/GMT	Oliver Xie	Oliver Xie	No Confidence	No Confidence	
2022-04-24 22:18:36 Etc/GMT	Oliver Xie	Oliver Xie		Johnson Luong	
2022-04-25 00:35:06 Etc/GMT	Oliver Xie	Oliver Xie	Yolanda Lam	Johnson Luong	
2022-04-25 01:18:30 Etc/GMT	Oliver Xie	Oliver Xie	No Confidence	No Confidence	
2022-04-25 02:58:34 Etc/GMT	Oliver Xie	Valerie Kistrina	Yolanda Lam	Rastko Koprivica	
2022-04-25 03:17:33 Etc/GMT		Valerie Kistrina		Hooyar Hamraz	
2022-04-25 04:59:12 Etc/GMT	Oliver Xie	Oliver Xie	No Confidence	Hooyar Hamraz	
2022-04-25 05:09:58 Etc/GMT	No Confidence	Valerie Kistrina	No Confidence	Rastko Koprivica	
2022-04-25 05:49:14 Etc/GMT	No Confidence	No Confidence	No Confidence	Hooyar Hamraz	
2022-04-25 07:27:49 Etc/GMT	No Confidence	No Confidence	Gilbert Siu Chung Wong	Gilbert Siu Chung Wong	
2022-04-25 07:31:04 Etc/GMT	No Confidence	Jennifer Dai	Gilbert Siu Chung Wong	Gilbert Siu Chung Wong	
2022-04-25 08:31:14 Etc/GMT	No Confidence	No Confidence	No Confidence	Hooyar Hamraz	
2022-04-25 17:23:52 Etc/GMT	No Confidence	No Confidence	No Confidence	Hooyar Hamraz	
2022-04-25 18:18:43 Etc/GMT	Oliver Xie				
2022-04-25 18:59:03 Etc/GMT	No Confidence	No Confidence	No Confidence	Hooyar Hamraz	
2022-04-25 20:31:59 Etc/GMT	Oliver Xie	Clare Provezano	Mantaj Dhillon	Hooyar Hamraz	
2022-04-25 21:10:29 Etc/GMT				Hooyar Hamraz	
2022-04-25 22:53:51 Etc/GMT	No Confidence	No Confidence	Mantaj Dhillon	Hooyar Hamraz	
2022-04-26 01:39:27 Etc/GMT	Oliver Xie	No Confidence	No Confidence	No Confidence	
2022-04-26 02:11:09 Etc/GMT	Clare Provezano	Valerie Kistrina	Gilbert Siu Chung Wong	Rastko Koprivica	
2022-04-26 02:22:13 Etc/GMT	Oliver Xie	Jennifer Dai	Yolanda Lam	Hooyar Hamraz	
2022-04-26 02:49:37 Etc/GMT	No Confidence	No Confidence	No Confidence	Hooyar Hamraz	
2022-04-26 05:24:14 Etc/GMT	Oliver Xie	Valerie Kistrina	Mantaj Dhillon	Hooyar Hamraz	
2022-04-26 05:30:13 Etc/GMT	Oliver Xie	Valerie Kistrina		No Confidence	
2022-04-26 06:14:49 Etc/GMT	No Confidence	Valerie Kistrina	Gilbert Siu Chung Wong	Julkar Naine Reedoy	
2022-04-26 18:05:40 Etc/GMT	Oliver Xie	Jennifer Dai	Yolanda Lam	Johnson Luong	
2022-04-26 19:22:44 Etc/GMT	No Confidence	No Confidence	No Confidence	Hooyar Hamraz	
2022-04-27 04:11:52 Etc/GMT	Clare Provezano	Clare Provezano	No Confidence	Hooyar Hamraz	
2022-04-27 05:04:16 Etc/GMT	Oliver Xie	Valerie Kistrina	Yolanda Lam	Hooyar Hamraz	
2022-04-27 06:33:59 Etc/GMT	No Confidence	No Confidence	No Confidence	Johnson Luong	
2022-04-27 08:15:18 Etc/GMT	Oliver Xie	Oliver Xie	Yolanda Lam	Julkar Naine Reedoy	
2022-04-27 23:11:31 Etc/GMT	Clare Provezano	Valerie Kistrina	Gilbert Siu Chung Wong	Gilbert Siu Chung Wong	
2022-04-27 23:11:53 Etc/GMT	Oliver Xie	Oliver Xie	Gilbert Siu Chung Wong	Johnson Luong	
2022-04-27 23:31:58 Etc/GMT	Oliver Xie	Valerie Kistrina	Mantaj Dhillon	Johnson Luong	
2022-04-27 23:51:08 Etc/GMT	Oliver Xie	Oliver Xie	No Confidence	Johnson Luong	
2022-04-28 01:00:26 Etc/GMT	Oliver Xie	Oliver Xie	Gilbert Siu Chung Wong	Johnson Luong	
2022-04-28 03:10:00 Etc/GMT	Oliver Xie	Oliver Xie	Mantaj Dhillon	Gilbert Siu Chung Wong	
2022-04-28 04:04:06 Etc/GMT	Oliver Xie	Valerie Kistrina	Yolanda Lam	Johnson Luong	
2022-04-28 04:33:30 Etc/GMT	Oliver Xie	Jennifer Dai	No Confidence	Johnson Luong	
2022-04-28 04:56:07 Etc/GMT	No Confidence	No Confidence	No Confidence	Johnson Luong	
2022-04-28 05:04:36 Etc/GMT	Oliver Xie	Valerie Kistrina	No Confidence	Rastko Koprivica	
2022-04-28 05:08:23 Etc/GMT	Oliver Xie	Valerie Kistrina	Yolanda Lam	Johnson Luong	
2022-04-28 06:16:41 Etc/GMT	Oliver Xie	No Confidence	No Confidence	No Confidence	
2022-04-28 06:21:51 Etc/GMT	Clare Provezano	Valerie Kistrina	Mantaj Dhillon	Hooyar Hamraz	
2022-04-28 06:50:17 Etc/GMT	No Confidence	No Confidence	No Confidence	Johnson Luong	
2022-04-28 07:04:27 Etc/GMT	Oliver Xie	Valerie Kistrina	Gilbert Siu Chung Wong	Johnson Luong	
2022-04-28 07:08:00 Etc/GMT	No Confidence	No Confidence	Yolanda Lam	Johnson Luong	
2022-04-28 07:08:13 Etc/GMT	Oliver Xie	No Confidence	No Confidence	Johnson Luong	
2022-04-28 07:08:15 Etc/GMT	No Confidence	No Confidence	No Confidence	Johnson Luong	
2022-04-28 07:12:23 Etc/GMT	No Confidence	No Confidence	Yolanda Lam	Johnson Luong	
2022-04-28 07:12:34 Etc/GMT	Clare Provezano	Oliver Xie	Gilbert Siu Chung Wong	Johnson Luong	
2022-04-28 07:16:21 Etc/GMT	Oliver Xie	Jennifer Dai	Yolanda Lam	Johnson Luong	
2022-04-28 07:16:53 Etc/GMT	Oliver Xie	Jennifer Dai	Yolanda Lam	Johnson Luong	
2022-04-28 07:31:44 Etc/GMT	Oliver Xie	Valerie Kistrina	Yolanda Lam	Johnson Luong	
2022-04-28 07:38:46 Etc/GMT	Clare Provezano	Clare Provezano	Yolanda Lam	Johnson Luong	
2022-04-28 07:48:40 Etc/GMT	No Confidence	No Confidence	Yolanda Lam	Johnson Luong	
2022-04-28 08:46:13 Etc/GMT	Clare Provezano	Valerie Kistrina	Mantaj Dhillon	Johnson Luong	
2022-04-28 15:00:38 Etc/GMT	Clare Provezano	Clare Provezano	Mantaj Dhillon	Hooyar Hamraz	
2022-04-28 15:09:35 Etc/GMT	Clare Provezano	Valerie Kistrina	Yolanda Lam	Johnson Luong	
2022-04-28 16:10:51 Etc/GMT	Oliver Xie	Jennifer Dai	Yolanda Lam	Johnson Luong	
2022-04-28 16:48:19 Etc/GMT	Oliver Xie	Valerie Kistrina	Yolanda Lam	Johnson Luong	
2022-04-28 18:43:08 Etc/GMT	Oliver Xie	Valerie Kistrina	Yolanda Lam	Julkar Naine Reedoy	
2022-04-28 19:47:07 Etc/GMT			Yolanda Lam	Johnson Luong	
2022-04-28 21:18:12 Etc/GMT	Oliver Xie	Oliver Xie	Mantaj Dhillon	Johnson Luong	
2022-04-28 22:25:07 Etc/GMT	Oliver Xie	Oliver Xie	Yolanda Lam	Gilbert Siu Chung Wong	
2022-04-28 22:36:37 Etc/GMT	Oliver Xie	Oliver Xie			
2022-04-28 22:56:07 Etc/GMT	Oliver Xie	Valerie Kistrina	Yolanda Lam	Johnson Luong	
2022-04-28 23:18:38 Etc/GMT			Yolanda Lam	Johnson Luong	
2022-04-28 23:47:21 Etc/GMT	Clare Provezano	Clare Provezano	No Confidence	Hooyar Hamraz	
2022-04-29 03:22:26 Etc/GMT	Oliver Xie	No Confidence	Gilbert Siu Chung Wong	Johnson Luong	
2022-04-29 03:23:50 Etc/GMT	Oliver Xie	Oliver Xie	No Confidence	Johnson Luong	
2022-04-29 03:35:59 Etc/GMT	Oliver Xie	Valerie Kistrina	No Confidence	Johnson Luong	
2022-04-29 04:20:14 Etc/GMT	Clare Provezano	Valerie Kistrina	Yolanda Lam	Rastko Koprivica	
2022-04-29 04:31:55 Etc/GMT	Oliver Xie	Jennifer Dai	Yolanda Lam	Johnson Luong	
2022-04-29 05:45:37 Etc/GMT	No Confidence	No Confidence	Yolanda Lam	Johnson Luong	
2022-04-29 06:39:45 Etc/GMT	Oliver Xie	Valerie Kistrina	Gilbert Siu Chung Wong	Johnson Luong	
