Date	Q1 Answer	Q2 Answer	Q3 Answer	Q4 Answer	Q5 Answer	Q6 Answer	Q7 Answer	Q8 Answer	Q9 Answer	Q10 Answer	
2023-03-30 00:56:25 Etc/GMT	Justin Yan	Valerie Kistrina	Joyce Zhang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-03-30 01:02:00 Etc/GMT	Justin Yan	Johnson Luong	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-03-30 01:38:31 Etc/GMT	Justin Yan	Valerie Kistrina	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-03-30 04:43:48 Etc/GMT	Justin Yan	Valerie Kistrina	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Katie Sun	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-03-30 05:02:13 Etc/GMT	Justin Yan	Valerie Kistrina	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Katie Sun	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-03-30 05:20:01 Etc/GMT	Justin Yan	Gursahib Singh Badwal	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	
2023-03-30 06:08:04 Etc/GMT	Justin Yan	Valerie Kistrina	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Katie Sun	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-03-30 06:43:42 Etc/GMT	Justin Yan	Johnson Luong	No Confidence	No Confidence	Patrick Peake	Micah Baker	Katie Sun	Darrick Gunawan	Yolanda Lam	Elvin Zukic	
2023-03-30 07:12:48 Etc/GMT	Justin Yan	Johnson Luong	Joyce Zhang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Darrick Gunawan	Yolanda Lam	Dina Zeng	
2023-03-30 08:07:20 Etc/GMT	Justin Yan	Valerie Kistrina	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Katie Sun	Isabelle Kwan	Yolanda Lam	Elvin Zukic	
2023-03-30 18:36:21 Etc/GMT	Justin Yan	Valerie Kistrina	Joyce Zhang	Sean Chan	Patrick Peake	Micah Baker	Katie Sun	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-03-30 19:23:23 Etc/GMT	Justin Yan	Valerie Kistrina	Joyce Zhang	Sean Chan	Patrick Peake	Micah Baker	No Confidence	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-03-30 19:29:21 Etc/GMT	Justin Yan	Valerie Kistrina	Joyce Zhang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Darrick Gunawan	Yolanda Lam	Dina Zeng	
2023-03-30 22:49:59 Etc/GMT	Justin Yan	Valerie Kistrina	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-03-30 23:25:14 Etc/GMT	Justin Yan	Valerie Kistrina	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	No Confidence	Isabelle Kwan	No Confidence	Dina Zeng	
2023-03-30 23:47:59 Etc/GMT	Justin Yan	Valerie Kistrina	No Confidence	Sean Chan	Patrick Peake	Micah Baker	No Confidence	Isabelle Kwan	Yolanda Lam	No Confidence	
2023-03-30 23:50:02 Etc/GMT	Justin Yan	Valerie Kistrina	No Confidence	Sean Chan	Patrick Peake	Micah Baker	Katie Sun	Isabelle Kwan	Yolanda Lam	No Confidence	
2023-03-31 00:41:08 Etc/GMT	Justin Yan	Johnson Luong	Joyce Zhang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-03-31 01:03:11 Etc/GMT	Justin Yan	Valerie Kistrina	No Confidence	Sean Chan	No Confidence	Micah Baker	Arya Faghihy	No Confidence	No Confidence	Dina Zeng	
2023-03-31 16:51:44 Etc/GMT	Justin Yan	Valerie Kistrina	Joyce Zhang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Isabelle Kwan	Yolanda Lam	Elvin Zukic	
2023-03-31 16:54:03 Etc/GMT	Justin Yan	Valerie Kistrina	Joyce Zhang	Sean Chan	Patrick Peake	Micah Baker	No Confidence	Isabelle Kwan	Yolanda Lam	Elvin Zukic	
2023-03-31 17:09:24 Etc/GMT	Justin Yan	Johnson Luong	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Isabelle Kwan	Yolanda Lam	Elvin Zukic	
2023-03-31 17:17:58 Etc/GMT	Justin Yan	No Confidence	No Confidence	No Confidence	Patrick Peake	Micah Baker	Arya Faghihy	No Confidence	No Confidence	No Confidence	
2023-03-31 17:20:03 Etc/GMT	Justin Yan	Valerie Kistrina	Gabriel Stang	No Confidence	No Confidence	No Confidence	Arya Faghihy	Darrick Gunawan	Yolanda Lam	Elvin Zukic	
2023-03-31 17:43:25 Etc/GMT	Justin Yan	No Confidence	No Confidence	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Darrick Gunawan	Yolanda Lam	No Confidence	
2023-03-31 17:45:49 Etc/GMT	Justin Yan	No Confidence	No Confidence	No Confidence	Patrick Peake	Micah Baker	Arya Faghihy	Isabelle Kwan	No Confidence	Elvin Zukic	
2023-03-31 17:57:39 Etc/GMT	Justin Yan	Valerie Kistrina	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Darrick Gunawan	Yolanda Lam	Elvin Zukic	
2023-03-31 18:10:25 Etc/GMT	Justin Yan	Valerie Kistrina	Joyce Zhang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Isabelle Kwan	Yolanda Lam	Elvin Zukic	
2023-03-31 18:34:11 Etc/GMT	Justin Yan	Valerie Kistrina	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-03-31 18:34:55 Etc/GMT	Justin Yan	Valerie Kistrina	Joyce Zhang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-03-31 18:57:21 Etc/GMT	Justin Yan	Johnson Luong	Joyce Zhang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Darrick Gunawan	Yolanda Lam	Dina Zeng	
2023-03-31 19:23:29 Etc/GMT	Justin Yan	Johnson Luong	Joyce Zhang	Sean Chan	Patrick Peake	Micah Baker	Katie Sun	Isabelle Kwan	Yolanda Lam	Elvin Zukic	
2023-03-31 19:45:08 Etc/GMT	Justin Yan	Valerie Kistrina	Joyce Zhang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Darrick Gunawan	Yolanda Lam	Dina Zeng	
2023-03-31 20:45:41 Etc/GMT	No Confidence	Johnson Luong	Gabriel Stang	No Confidence	No Confidence	Micah Baker	Arya Faghihy	Isabelle Kwan	Yolanda Lam	No Confidence	
2023-03-31 21:05:44 Etc/GMT	No Confidence	Gursahib Singh Badwal	Joyce Zhang	No Confidence	No Confidence	No Confidence	Katie Sun	Isabelle Kwan	No Confidence	Dina Zeng	
2023-03-31 22:22:15 Etc/GMT	No Confidence	Gursahib Singh Badwal	No Confidence	No Confidence	Patrick Peake	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	
2023-03-31 22:25:47 Etc/GMT	No Confidence	Valerie Kistrina	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Darrick Gunawan	Yolanda Lam	Elvin Zukic	
2023-03-31 22:42:03 Etc/GMT	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	Arya Faghihy	No Confidence	No Confidence	No Confidence	
2023-03-31 22:53:54 Etc/GMT	Justin Yan	Valerie Kistrina	Joyce Zhang	Sean Chan	Patrick Peake	Micah Baker	Katie Sun	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-03-31 23:07:53 Etc/GMT	Justin Yan	Valerie Kistrina	Gabriel Stang	Sean Chan	No Confidence	Micah Baker	Arya Faghihy	Isabelle Kwan	Yolanda Lam	Elvin Zukic	
2023-04-01 00:20:39 Etc/GMT	Justin Yan	Valerie Kistrina	No Confidence	No Confidence	No Confidence	Micah Baker	No Confidence	Darrick Gunawan	No Confidence	Elvin Zukic	
2023-04-01 00:30:30 Etc/GMT	Justin Yan	Johnson Luong	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Isabelle Kwan	Yolanda Lam	Elvin Zukic	
2023-04-01 00:31:11 Etc/GMT	Justin Yan	Valerie Kistrina	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Darrick Gunawan	Yolanda Lam	Elvin Zukic	
2023-04-01 00:33:50 Etc/GMT	Justin Yan	Johnson Luong	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	Dina Zeng	
2023-04-01 00:34:21 Etc/GMT	Justin Yan	Valerie Kistrina	Joyce Zhang	No Confidence	No Confidence	Micah Baker	Katie Sun	Isabelle Kwan	Yolanda Lam	Elvin Zukic	
2023-04-01 00:49:10 Etc/GMT	Justin Yan	Valerie Kistrina	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-04-01 01:01:00 Etc/GMT	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	Elvin Zukic	
2023-04-01 05:13:24 Etc/GMT	Justin Yan	No Confidence	Joyce Zhang	Sean Chan	Patrick Peake	Micah Baker	Katie Sun	Isabelle Kwan	Yolanda Lam	Elvin Zukic	
2023-04-01 07:27:38 Etc/GMT	Justin Yan	Valerie Kistrina	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Katie Sun	Darrick Gunawan	Yolanda Lam	Dina Zeng	
2023-04-01 22:50:25 Etc/GMT	Justin Yan	Valerie Kistrina	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Darrick Gunawan	Yolanda Lam	Dina Zeng	
2023-04-01 23:56:18 Etc/GMT	Justin Yan	Johnson Luong	Joyce Zhang	Sean Chan	Patrick Peake	Micah Baker	Katie Sun	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-04-02 00:56:59 Etc/GMT	Justin Yan	Johnson Luong	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-04-02 03:11:44 Etc/GMT	Justin Yan	Valerie Kistrina	No Confidence	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Isabelle Kwan	Yolanda Lam	Elvin Zukic	
2023-04-02 03:27:44 Etc/GMT	Justin Yan	Valerie Kistrina	No Confidence	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Isabelle Kwan	Yolanda Lam	Elvin Zukic	
2023-04-02 03:41:32 Etc/GMT	Justin Yan	Valerie Kistrina	Joyce Zhang	Sean Chan	Patrick Peake	Micah Baker	Katie Sun	Isabelle Kwan	Yolanda Lam	No Confidence	
2023-04-02 06:08:20 Etc/GMT	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	Micah Baker	Arya Faghihy	No Confidence	No Confidence	No Confidence	
2023-04-02 15:04:21 Etc/GMT	No Confidence	Johnson Luong	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-04-02 20:29:00 Etc/GMT	Justin Yan	Valerie Kistrina	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Katie Sun	Isabelle Kwan	Yolanda Lam	Elvin Zukic	
2023-04-02 20:43:40 Etc/GMT	Justin Yan	Valerie Kistrina	Joyce Zhang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-04-02 21:08:18 Etc/GMT	Justin Yan	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	Arya Faghihy	Darrick Gunawan	No Confidence	No Confidence	
2023-04-02 23:25:17 Etc/GMT	Justin Yan	Valerie Kistrina	Joyce Zhang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-04-03 01:22:05 Etc/GMT	Justin Yan	Valerie Kistrina	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Katie Sun	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-04-03 03:18:41 Etc/GMT	Justin Yan	No Confidence	Joyce Zhang	Sean Chan	No Confidence	Micah Baker	No Confidence	Darrick Gunawan	No Confidence	No Confidence	
2023-04-03 03:37:27 Etc/GMT	Justin Yan	No Confidence	No Confidence	Sean Chan	Patrick Peake	Micah Baker	No Confidence	No Confidence	Yolanda Lam	No Confidence	
2023-04-03 03:38:07 Etc/GMT	Justin Yan	Valerie Kistrina	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Katie Sun	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-04-03 03:41:19 Etc/GMT	Justin Yan	Valerie Kistrina	Joyce Zhang	No Confidence	No Confidence	No Confidence	Katie Sun	Isabelle Kwan	No Confidence	Dina Zeng	
2023-04-03 03:42:40 Etc/GMT	Justin Yan	Valerie Kistrina	Joyce Zhang	Sean Chan	Patrick Peake	Micah Baker	No Confidence	No Confidence	Yolanda Lam	No Confidence	
2023-04-03 03:47:04 Etc/GMT	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	Micah Baker	Arya Faghihy	No Confidence	No Confidence	Dina Zeng	
2023-04-03 03:50:43 Etc/GMT	Justin Yan	Johnson Luong	Gabriel Stang	No Confidence	Patrick Peake	Micah Baker	Arya Faghihy	No Confidence	No Confidence	Dina Zeng	
2023-04-03 03:51:49 Etc/GMT	Justin Yan	Johnson Luong	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Darrick Gunawan	Yolanda Lam	Dina Zeng	
2023-04-03 03:55:36 Etc/GMT	No Confidence	Gursahib Singh Badwal	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Isabelle Kwan	Yolanda Lam	Elvin Zukic	
2023-04-03 03:57:04 Etc/GMT	Justin Yan	Johnson Luong	No Confidence	Sean Chan	No Confidence	No Confidence	No Confidence	Isabelle Kwan	No Confidence	Dina Zeng	
2023-04-03 04:11:10 Etc/GMT	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	
2023-04-03 04:14:24 Etc/GMT	No Confidence	Johnson Luong	Joyce Zhang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Darrick Gunawan	Yolanda Lam	Dina Zeng	
2023-04-03 04:15:07 Etc/GMT	Justin Yan	Gursahib Singh Badwal	Joyce Zhang	Sean Chan	Patrick Peake	Micah Baker	Katie Sun	Darrick Gunawan	Yolanda Lam	Dina Zeng	
2023-04-03 04:25:27 Etc/GMT	No Confidence	Gursahib Singh Badwal	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	
2023-04-03 04:50:14 Etc/GMT	Justin Yan	Johnson Luong	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Katie Sun	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-04-03 04:50:48 Etc/GMT	Justin Yan	Valerie Kistrina	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-04-03 05:24:39 Etc/GMT	Justin Yan	Valerie Kistrina	Joyce Zhang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Darrick Gunawan	Yolanda Lam	Elvin Zukic	
2023-04-03 05:37:54 Etc/GMT	Justin Yan	Johnson Luong	Gabriel Stang	Sean Chan	No Confidence	Micah Baker	Katie Sun	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-04-03 05:55:28 Etc/GMT	Justin Yan	Valerie Kistrina	Joyce Zhang	Sean Chan	Patrick Peake	Micah Baker	Katie Sun	Darrick Gunawan	Yolanda Lam	Dina Zeng	
2023-04-03 06:05:47 Etc/GMT	Justin Yan	Valerie Kistrina	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Isabelle Kwan	Yolanda Lam	Elvin Zukic	
2023-04-03 18:47:35 Etc/GMT	No Confidence	Valerie Kistrina	Joyce Zhang	Sean Chan	Patrick Peake	Micah Baker	Katie Sun	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-04-03 20:58:45 Etc/GMT	Justin Yan	Valerie Kistrina	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Isabelle Kwan	Yolanda Lam	Dina Zeng	
2023-04-04 00:25:45 Etc/GMT	Justin Yan	Valerie Kistrina	Gabriel Stang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	No Confidence	Yolanda Lam	Dina Zeng	
2023-04-04 06:48:22 Etc/GMT	No Confidence	Valerie Kistrina	Joyce Zhang	Sean Chan	Patrick Peake	Micah Baker	Arya Faghihy	Darrick Gunawan	Yolanda Lam	Dina Zeng	
